Word,DocId:Occurrence
como,"[(1, 2), (3, 7), (4, 4), (5, 3), (6, 8), (7, 13), (8, 6), (9, 2), (10, 4), (11, 7), (12, 5), (13, 8), (14, 3), (15, 10), (16, 13), (17, 3), (18, 2), (19, 9), (20, 4), (21, 2), (22, 3), (23, 3), (24, 1), (25, 10), (26, 5), (28, 3), (29, 6), (30, 4), (31, 14), (32, 11), (33, 6), (34, 10), (36, 13), (37, 9), (39, 1), (40, 2), (41, 5), (42, 5), (43, 3), (45, 1), (46, 1), (47, 5), (49, 1), (50, 4), (54, 1), (55, 9), (56, 2), (57, 9), (59, 2), (60, 12), (61, 1), (63, 16), (64, 2), (65, 13), (69, 11), (70, 5), (73, 7), (75, 3), (76, 9), (77, 3), (78, 7), (79, 1), (80, 2), (81, 1), (82, 1), (83, 2), (84, 4), (86, 6), (87, 10), (88, 2), (89, 4), (90, 5), (92, 4), (93, 8), (94, 1), (95, 3), (96, 2), (97, 3), (98, 3), (99, 8), (101, 2), (102, 8), (103, 9), (104, 2), (105, 8), (106, 2), (107, 9), (108, 9), (109, 6), (110, 6), (111, 9), (112, 4), (113, 2), (114, 4), (115, 10), (117, 1), (118, 5), (120, 3), (121, 5), (122, 4), (123, 3), (124, 5), (125, 17), (126, 2), (128, 4), (129, 6), (130, 11), (131, 1), (132, 3), (133, 1), (134, 2), (135, 1), (136, 1), (137, 2), (138, 9), (139, 2), (140, 6), (141, 3), (142, 8), (143, 7), (144, 6), (145, 3), (146, 9), (147, 8), (148, 2), (149, 4), (150, 8), (151, 26), (152, 14), (153, 11), (154, 2), (155, 5), (156, 7), (157, 2), (158, 2), (159, 4), (160, 9), (161, 9), (162, 11), (163, 6), (164, 11), (165, 11), (166, 25), (167, 1), (168, 6), (169, 1), (170, 2), (171, 6), (172, 6), (173, 11), (174, 5), (175, 8), (176, 3), (177, 7), (178, 5), (179, 3), (180, 4), (181, 4), (182, 7), (183, 7), (184, 7), (185, 7), (186, 5), (187, 3), (188, 4), (189, 7), (190, 8), (193, 9), (194, 4), (195, 7), (196, 5), (197, 15), (198, 9), (199, 2), (200, 3), (201, 2), (202, 2), (203, 8), (204, 7), (205, 5), (206, 2), (207, 10), (208, 8), (210, 8), (211, 17), (212, 2), (213, 1), (214, 9), (215, 2), (216, 3), (217, 12), (218, 2), (219, 3), (221, 8), (222, 2), (223, 7), (224, 5), (225, 5), (226, 3), (229, 4), (230, 8), (233, 2), (234, 1), (235, 4), (236, 3), (238, 8), (239, 11), (240, 5), (241, 1), (242, 5), (243, 3), (244, 10), (245, 3), (246, 3), (247, 4), (248, 17), (249, 23)]"
condenou,"[(1, 1), (29, 1), (105, 1), (161, 1), (223, 1), (224, 1)]"
direitos,"[(1, 2), (3, 1), (8, 1), (20, 1), (26, 1), (29, 2), (33, 4), (47, 1), (55, 1), (76, 1), (77, 1), (88, 1), (93, 1), (95, 1), (101, 1), (117, 3), (120, 1), (125, 2), (146, 1), (151, 1), (153, 3), (158, 3), (161, 1), (165, 2), (166, 2), (171, 2), (172, 1), (173, 2), (185, 3), (191, 3), (200, 1), (210, 1), (218, 1), (242, 1), (248, 1)]"
humanos,"[(1, 2), (8, 1), (26, 1), (29, 2), (87, 1), (93, 1), (95, 1), (102, 1), (117, 2), (153, 1), (165, 1), (166, 1), (172, 1), (173, 1), (179, 1), (184, 1), (194, 1), (210, 1), (218, 1)]"
alusiva,"[(1, 1)]"
Constituinte,"[(1, 2), (88, 3), (106, 1)]"
reportagem,"[(1, 1), (14, 1), (79, 1), (119, 1), (201, 1), (207, 1), (217, 1), (220, 1), (223, 3), (224, 1), (229, 1), (230, 4), (235, 1)]"
mais,"[(1, 3), (3, 6), (4, 4), (5, 4), (6, 7), (7, 2), (8, 4), (9, 5), (10, 6), (11, 9), (12, 2), (13, 6), (14, 4), (16, 6), (17, 7), (18, 1), (19, 12), (20, 3), (22, 10), (23, 8), (24, 7), (25, 10), (26, 3), (27, 1), (28, 5), (29, 13), (30, 2), (31, 6), (32, 14), (33, 3), (34, 5), (36, 11), (37, 12), (39, 2), (40, 7), (41, 4), (43, 4), (44, 1), (45, 3), (46, 6), (47, 4), (49, 2), (50, 1), (51, 1), (53, 1), (55, 2), (56, 5), (57, 8), (58, 5), (59, 4), (60, 4), (61, 4), (63, 13), (64, 2), (65, 18), (66, 1), (67, 1), (69, 21), (70, 1), (73, 1), (74, 1), (76, 7), (77, 1), (78, 7), (79, 1), (80, 6), (81, 1), (82, 1), (83, 6), (84, 7), (86, 1), (87, 7), (88, 4), (89, 4), (90, 5), (91, 1), (92, 2), (93, 6), (94, 4), (95, 6), (96, 4), (97, 4), (98, 2), (99, 7), (100, 1), (101, 3), (102, 5), (103, 4), (105, 3), (107, 12), (108, 10), (109, 15), (110, 10), (111, 5), (112, 2), (113, 1), (114, 7), (115, 8), (116, 1), (117, 2), (118, 5), (119, 3), (120, 3), (121, 5), (122, 1), (123, 9), (124, 6), (125, 5), (126, 1), (127, 4), (128, 2), (129, 9), (130, 11), (131, 1), (132, 5), (133, 7), (134, 3), (135, 6), (136, 2), (137, 13), (138, 9), (139, 6), (140, 14), (141, 6), (142, 5), (143, 11), (144, 9), (145, 6), (146, 6), (147, 10), (149, 2), (150, 7), (151, 27), (152, 10), (153, 6), (154, 8), (155, 3), (156, 9), (157, 3), (158, 5), (159, 2), (160, 5), (161, 6), (162, 3), (163, 5), (164, 5), (165, 5), (166, 22), (167, 4), (168, 5), (169, 1), (171, 2), (172, 6), (173, 12), (174, 1), (175, 5), (176, 4), (177, 2), (178, 6), (179, 3), (180, 8), (182, 4), (183, 5), (184, 7), (185, 5), (186, 2), (187, 4), (188, 3), (189, 4), (190, 4), (192, 1), (193, 2), (194, 3), (195, 5), (196, 7), (197, 13), (198, 16), (199, 6), (200, 1), (201, 4), (202, 3), (203, 4), (205, 2), (206, 3), (207, 9), (208, 8), (209, 2), (210, 9), (211, 40), (213, 5), (214, 3), (215, 4), (216, 4), (217, 18), (218, 5), (219, 2), (221, 6), (222, 5), (223, 6), (224, 4), (225, 2), (227, 1), (228, 1), (229, 2), (230, 2), (232, 2), (233, 2), (234, 3), (235, 4), (236, 5), (237, 2), (238, 3), (239, 2), (240, 2), (241, 6), (242, 2), (243, 7), (244, 12), (245, 5), (246, 1), (247, 1), (248, 28), (249, 17)]"
Brasília,"[(1, 1), (8, 1), (33, 1), (35, 1), (44, 1), (48, 1), (50, 1), (53, 1), (62, 1), (72, 1), (80, 1), (85, 1), (101, 1), (138, 1), (146, 1), (161, 1), (162, 1), (203, 1), (205, 1), (207, 2), (213, 1), (214, 1), (217, 4), (222, 1), (229, 1), (235, 1), (238, 1), (246, 1)]"
canalizado,"[(1, 1)]"
